ï»¿ID,Resposta_Felicidade,Cluster_Exploratorio,Escore_Geral,Escore_P,Escore_E,Escore_R,Escore_M,Escore_A,Idade,Genero,Escolaridade
50,"Um movimento contínuo, em que o Sentido de existir pode e deve ser experimentado momento a momento. Um desfrutar da jornada, de olhos abertos e sensíveis a beleza do universo que nos acolhe ",Florescimento,5,5,5,5,5,5,44,1,6
51,É  um estado de espírito ,Florescimento,4.777.777.778,5,5,4.333.333.333,4.666.666.667,4.666.666.667,50,1,8
52,"É conseguir viver de forma plena, sabendo lidar com as emoções de maneira equilibrada e reconhecendo que o especial, o extraordinário, pode ser encontrado no ordinário da vida ",Desenvolvimento,3,3,3,3,3.333.333.333,2.666.666.667,48,1,6
53,"É o estado de bem estar e satisfação com o que se é, independente das circunstâncias temporais",Desenvolvimento,3.861.111.111,4,3.5,3.666.666.667,4.333.333.333,3.666.666.667,40,2,5
54,"Bem estar mental, físico e espiritual. Um equilíbrio dos 3 temas acima mencionados para uma melhor convivência social e pessoal. É se sentir com propósitos de vida e objetivos a serem alcançados",Desenvolvimento,3.833.333.333,4,4,4,3,4,32,1,6
56,"É quando estou bem comigo mesma, com os familiares. Colocar a cabeça no travesseiro e dormir bem",Florescimento,4.666.666.667,4.333.333.333,5,5,5,3.666.666.667,69,2,5
57,"Para mim, felicidade é algo que vem de dentro e que pode ser trabalhado, aprendido e vivido",Florescimento,4.388.888.889,3.666.666.667,5,4.666.666.667,4.333.333.333,3.666.666.667,19,2,5
58,"E um estado de bem-estar que proporciona emoções positivas. São momentos, conquistas, realizações de objetivos. A felicidade para mim também pode ser resumida a bons momentos com minha família ou podendo ser útil para as pessoas que amo",Desenvolvimento,3.777.777.778,4,4,4,3.666.666.667,3,31,1,6
59,"A felicidade se resume em ter momentos bons, alegres, divertidos, harmoniosos com boas companhias e acima de tudo fazer boas ações. Amar sem medida, doar-se. Por isso busca ferramentas para aumentar essas momentos",Florescimento,4.555.555.556,4.333.333.333,5,4.666.666.667,4.666.666.667,4.666.666.667,62,1,6
60,"Fazer o que gosta, o que te dá prazer. Ver outras pessoas felizes. Conquistar objetivos. Realizar sonhos. Bem-estar em várias dimensões ",Desenvolvimento,3.444.444.444,4,3,3.333.333.333,3,3.333.333.333,49,2,6
61,sem resposta,Desenvolvimento,2.083.333.333,1.666.666.667,2.5,2,2.333.333.333,3,30,1,5
63,"Felicidade é um encontro de alegria, satisfação, resiliência com você mesmo. Como também você partilhar com as pessoa que precisam de uma palavra amiga no momento que outro precisa",Desenvolvimento,3.944.444.444,4,4,4,3.666.666.667,4,66,1,4
64,É um estado de espírito. Bem-viver saudável.,Desenvolvimento,3.666.666.667,3.333.333.333,5,3,3.666.666.667,4,71,1,8
66,"A felicidade é está bem consigo mesmo, fisicamente e espiritualmente. É está ao lado das pessoas que amamos! É ter paz interior!",Florescimento,4.527.777.778,4.333.333.333,4.5,5,4,4.333.333.333,59,1,8
67,Felicidade é está em paz comigo mesma,Florescimento,4.111.111.111,3.666.666.667,4,4.666.666.667,4,3.333.333.333,58,1,3
69,Ter paz de espírito ,Florescimento,4.833.333.333,5,5,4.333.333.333,5,4.666.666.667,55,1,7
70,Felicidade é estar em paz consigo mesmo e com as responsabilidades que a sociedade nós impõe. Ver seus dependentes realizados profissionalmente e financeiramente. É ter amigos e viver o melhor dessa terra,Florescimento,4.5,4.666.666.667,5,3.666.666.667,4.333.333.333,4.333.333.333,64,1,8
71,Momentos bons,Florescimento,4.166.666.667,4.333.333.333,4,4.666.666.667,4,4,61,1,6
72,"A felicidade está em tudo aquilo que nos faz se sentir melhor como pessoa, a felicidade também está nas conquistas pessoal ou coletiva, está em nossas decisões em busca do sentido da própria vida",Desenvolvimento,3.666.666.667,3.666.666.667,4,4,4,3.333.333.333,65,2,4
73,Algo que acontece de dentro pra fora,Florescimento,4.888.888.889,4.666.666.667,5,5,5,4.666.666.667,61,1,6
74,Ver minhas filhas bem. Viver em paz com o mundo e minha família. Ter saúde ,Florescimento,4,4,4,4,4,4,54,1,2
75,"Felicidade é ter amigos, conviver com os familiares, partilhar momentos onde resgatamos memórias boas. Fazer planos e conseguir alcançar os objetivos, organizar e conseguir dar conta das demandas diárias apesar das minhas limitações ",Florescimento,4.722.222.222,4.666.666.667,5,4.666.666.667,4.666.666.667,4.333.333.333,54,1,6
77,"Tudo nesse mundo é passageiro. Minha religião prega que há um céu eterno, onde se pode viver em harmonia com todas as coisas boas. Para mim, felicidade é quando eu partir desse mundo, caso acorde nesse céu, aproveitá-lo com aqueles que amei durante a outra vida",Desenvolvimento,2.472.222.222,2,2.5,4.333.333.333,2,2,24,1,6
78,Pra mim felicidade é um momento de espírito no qual temos por alguns momentos da vida,Florescimento,4.111.111.111,5,5,5,5,3.666.666.667,49,1,8
79,"É viver bem comigo mesma, e com meus amigos e familiares, ter uma vida estável, poder desfrutar das maravilhas que o mundo nós oferece",Desenvolvimento,3.333.333.333,3,4,2.666.666.667,3.666.666.667,3.666.666.667,39,1,6
80,A felicidade é está bem com a vida,Desenvolvimento,2.361.111.111,1.666.666.667,2.5,3,3,2,61,1,4
82,É ter saúde mental. Paz de espírito. Corpo saudável( sem enfermidades). Comer meu cuzcuz(que amo). Trabalhar com o que amo,Florescimento,4.666.666.667,4.333.333.333,5,4,4.666.666.667,5,47,1,4
83,"Felicidade é viver a vida de acordo com aquilo que me faz bem; estar na natureza, ajudar pessoas, ter um teto e alimento, saúde e amar e ser amado",Desenvolvimento,3.222.222.222,2.333.333.333,2,4.666.666.667,3,3.333.333.333,54,1,8
84,"Felicidade é está em paz comigo mesma, viver sem conflitos, estar na minha base. Me sentir bem físico e emocionalmente. Fazer exercícios, ouvir música, dançar, encontrar pessoas, conversar. Viver!",Desenvolvimento,3.916.666.667,4,4.5,3,4,4,58,1,8
85,"Felicidade é um bem-estar físico, cognitivo, afetivo e social. Penso que é algo intrínseco ao ser humano e que transborda bem estar para todos a sua volta, afetando a si mesmo e ao outro de forma positiva ",Desenvolvimento,3.805.555.556,3,4.5,3.333.333.333,3.666.666.667,4.333.333.333,49,1,8
86,Felicidade é sentir-se pleno em todos os aspectos da vida,Desenvolvimento,3,3.333.333.333,3,3,3,2.666.666.667,48,1,6
88,"É estar saudável, contemplar a natureza, cuidar dos meus pets, ter o suficiente e ouvir música ",Desenvolvimento,3.583.333.333,3.666.666.667,3.5,3.666.666.667,3.666.666.667,3,49,1,8
90,É estar com saúde que o restante vêm facil,Florescimento,5,5,5,5,5,5,47,1,6
91,"É um conjunto de situações, mas dentre estas situações saber lidar com o sucesso e o fracasso sabendo se valorizar e não se abalar com os insucessos. Felicidade acredito ser a paz interior que faz você estar leve, para você e com os outros. É subjetivo",Desenvolvimento,3.055.555.556,3.666.666.667,4,3.666.666.667,2,2,57,1,6
92,"Felicidade para mim é estado de bem-estar. Estar de bem com a vida, comigo e com os outros. Ter condições apropriadas de vida, fazer coisas que me agradam e estar rodeada das pessoas que amo",Desenvolvimento,3.666.666.667,4,3,4.666.666.667,3.666.666.667,2.666.666.667,30,1,8
93,"A felicidade é como uma borboleta. Quanto mais você a persegue, mais ela se esquiva. Mas se você voltar sua atenção para outras coisas ela virá pousar calmamente nos seus ombros ",Desenvolvimento,3.305.555.556,4,3.5,2.666.666.667,2.666.666.667,3,62,2,4
94,"Felicidade é um aroma que emana do meu ser, do meu interior e reflete intimamente minha percepção interior de mundo. Quanto mais compreendo minha real essência, o mecanismo dos meus pensamentos e emoções, mais me aprofundo em um lugar dentro de mim de onde brota o contentamento e bem-estar. Um processo contínuo de autoconhecimento ",Desenvolvimento,3.805.555.556,4,3.5,4.666.666.667,3.666.666.667,3,40,1,6
95,"Felicidade é estar perto da família, estando todos com saúde ",Desenvolvimento,3.444.444.444,3,4,3.333.333.333,3.666.666.667,4.666.666.667,43,1,6
96,É um estado de espírito independente de qualquer coisa,Florescimento,4,4,4,3.666.666.667,4,3.333.333.333,59,1,6
97,Bem-estar emocional,Florescimento,5,5,5,5,5,5,52,1,4
98,"Felicidade para mim é estar de bem com a vida e com os seres ao redor, É estar agradecido. É estar bem consigo mesmo ",Desenvolvimento,3.111.111.111,3.333.333.333,3,2.333.333.333,3.333.333.333,3.666.666.667,64,1,6
99,É o estado mental onde o indivíduo se sinta bem consigo e com os demais do seu convívio ,Desenvolvimento,2.305.555.556,2,2.5,2.333.333.333,2.333.333.333,2.666.666.667,50,1,6
